"","Texas","TX","0","1",""
"4","Read with Fluency and Understanding","4E.1.2","4E.1","5","TX English Language Arts"
"4","Read Regularly in Independent-Level Material","4E.1.2.1","4E.1.2","6","TX English Language Arts"
"4","Read Regularly in Instructional-Level Material","4E.1.2.2","4E.1.2","6","TX English Language Arts"
"4","Demonstrate Char. of Fluent&Effective Reading","4E.1.2.3","4E.1.2","6","TX English Language Arts"
"4","Adjust Reading","4E.1.2.4","4E.1.2","6","TX English Language Arts"
"4","Read Aloud in Selected Texts","4E.1.2.5","4E.1.2","6","TX English Language Arts"
"4","Read Silently with Increasing Ease","4E.1.2.6","4E.1.2","6","TX English Language Arts"
"4","Reads Widely for Different Purposes","4E.1.3","4E.1","5","TX English Language Arts"
"4","Read Classic and Contemporary Works","4E.1.3.1","4E.1.3","6","TX English Language Arts"
"4","Select Varied Sources","4E.1.3.2","4E.1.3","6","TX English Language Arts"
"4","Read for Varied Purposes","4E.1.3.3","4E.1.3","6","TX English Language Arts"
"4","Acquires an Extensive Vocabulary","4E.1.4","4E.1","5","TX English Language Arts"
"4","Develop Vocabulary by Listening","4E.1.4.1","4E.1.4","6","TX English Language Arts"
"4","Bring Meanings to Words in Context","4E.1.4.2","4E.1.4","6","TX English Language Arts"
"4","Use Multiple Reference Aids","4E.1.4.3","4E.1.4","6","TX English Language Arts"
"4","Determine Meaning of Derivatives","4E.1.4.4","4E.1.4","6","TX English Language Arts"
"4","Study Word Meanings Systematically","4E.1.4.5","4E.1.4","6","TX English Language Arts"
"4","Comprehends Selections","4E.1.5","4E.1","5","TX English Language Arts"
"4","Own Knowledge and Experience to Comprehend","4E.1.5.1","4E.1.5","6","TX English Language Arts"
"4","Establish and Adjust Purposes for Reading","4E.1.5.2","4E.1.5","6","TX English Language Arts"
"4","Monitor His Her Own Comprehension","4E.1.5.3","4E.1.5","6","TX English Language Arts"
"4","Describe Mental Images","4E.1.5.4","4E.1.5","6","TX English Language Arts"
"4","Use the Text's Structure or Progression of Ideas","4E.1.5.5","4E.1.5","6","TX English Language Arts"
"4","Determine a Text's Main (or Major) Ideas","4E.1.5.6","4E.1.5","6","TX English Language Arts"
"4","Paraphrase and Summarize Text","4E.1.5.7","4E.1.5","6","TX English Language Arts"
"4","Draw Inferences","4E.1.5.8","4E.1.5","6","TX English Language Arts"
"4","Similarities and Differences Across Texts","4E.1.5.9","4E.1.5","6","TX English Language Arts"
"4","Distinguish Fact and Opinion","4E.1.5.10","4E.1.5","6","TX English Language Arts"
"4","Answer Different Types and Levels of Questions","4E.1.5.11","4E.1.5","6","TX English Language Arts"
"4","Represent Text Information in Different Ways","4E.1.5.12","4E.1.5","6","TX English Language Arts"
"4","Expresses and Supports Responses","4E.1.6","4E.1","5","TX English Language Arts"
"4","Offer Observations, Make Connections","4E.1.6.1","4E.1.6","6","TX English Language Arts"
"4","Interpret Text Ideas","4E.1.6.2","4E.1.6","6","TX English Language Arts"
"4","Support Responses","4E.1.6.3","4E.1.6","6","TX English Language Arts"
"4","Connect, Compare, and Contrast","4E.1.6.4","4E.1.6","6","TX English Language Arts"
"4","Analyzes the Characteristics of Various Text","4E.1.7","4E.1","5","TX English Language Arts"
"4","Internal Consistency or Logic of Stories and Texts","4E.1.7.1","4E.1.7","6","TX English Language Arts"
"4","Recognize Authors","4E.1.7.2","4E.1.7","6","TX English Language Arts"
"4","Identify the Purposes of Texts","4E.1.7.3","4E.1.7","6","TX English Language Arts"
"4","Recognize the Distinguishing Features of Genres","4E.1.7.4","4E.1.7","6","TX English Language Arts"
"4","Compare Communication","4E.1.7.5","4E.1.7","6","TX English Language Arts"
"4","Understand and Identify Literary Terms","4E.1.7.6","4E.1.7","6","TX English Language Arts"
"4","Understand Literary Forms","4E.1.7.7","4E.1.7","6","TX English Language Arts"
"4","Analyze Characters","4E.1.7.8","4E.1.7","6","TX English Language Arts"
"4","Story Plot, Setting, and Problem Resolution","4E.1.7.9","4E.1.7","6","TX English Language Arts"
"4","Author's Perspective or Point of View","4E.1.7.10","4E.1.7","6","TX English Language Arts"
"4","Inquires and Conducts Research","4E.1.8","4E.1","5","TX English Language Arts"
"4","Form and Revise Questions","4E.1.8.1","4E.1.8","6","TX English Language Arts"
"4","Use Text Organizers","4E.1.8.2","4E.1.8","6","TX English Language Arts"
"4","Use Multiple Sources","4E.1.8.3","4E.1.8","6","TX English Language Arts"
"4","Interpret and Use Graphic Sources of Information","4E.1.8.4","4E.1.8","6","TX English Language Arts"
"4","Summarize and Organize Information","4E.1.8.5","4E.1.8","6","TX English Language Arts"
"4","Produce Research Projects and Reports","4E.1.8.6","4E.1.8","6","TX English Language Arts"
"4","Draw Conclusions From Information","4E.1.8.7","4E.1.8","6","TX English Language Arts"
"4","Use Compiled Information and Knowledge","4E.1.8.8","4E.1.8","6","TX English Language Arts"
"4","Reads to Increase Knowledge","4E.1.9","4E.1","5","TX English Language Arts"
"4","Compare Text Events","4E.1.9.1","4E.1.9","6","TX English Language Arts"
"4","Distinctive and Common Characteristics of Cultures","4E.1.9.2","4E.1.9","6","TX English Language Arts"
"4","Themes and Connections that Cross Cultures","4E.1.9.3","4E.1.9","6","TX English Language Arts"
"4","Writing","4E.2","4E","4","TX English Language Arts"
"4","Writes for a Variety of Audiences","4E.2.1","4E.2","5","TX English Language Arts"
"4","Write to Express","4E.2.1.1","4E.2.1","6","TX English Language Arts"
"4","Write to Influence","4E.2.1.2","4E.2.1","6","TX English Language Arts"
"4","Write to Inform","4E.2.1.3","4E.2.1","6","TX English Language Arts"
"4","Write to Entertain","4E.2.1.4","4E.2.1","6","TX English Language Arts"
"4","Exhibit an Identifiable Voice","4E.2.1.5","4E.2.1","6","TX English Language Arts"
"4","Choose the Appropriate Form","4E.2.1.6","4E.2.1","6","TX English Language Arts"
"4","Compose Original Texts","4E.2.2","4E.2","5","TX English Language Arts"
"4","Write Legibly","4E.2.2.1","4E.2.2","6","TX English Language Arts"
"4","Capitalize and Punctuate Correctly","4E.2.2.2","4E.2.2","6","TX English Language Arts"
"4","Spells Proficiently","4E.2.3","4E.2","5","TX English Language Arts"
"4","Accurate Spelling of Syllable Constructions","4E.2.3.1","4E.2.3","6","TX English Language Arts"
"4","Write Accurate Spelling of Roots","4E.2.3.2","4E.2.3","6","TX English Language Arts"
"4","Use Resources to Find Correct Spellings","4E.2.3.3","4E.2.3","6","TX English Language Arts"
"4","Spell Accurately in Final Drafts","4E.2.3.4","4E.2.3","6","TX English Language Arts"
"4","Applies Standard Grammar and Usage","4E.2.4","4E.2","5","TX English Language Arts"
"4","Use Regular and Irregular Plurals Correctly","4E.2.4.1","4E.2.4","6","TX English Language Arts"
"4","Write in Complete Sentences","4E.2.4.2","4E.2.4","6","TX English Language Arts"
"4","Standard English Usage in Writing","4E.2.4.3","4E.2.4","6","TX English Language Arts"
"4","Use Adjectives","4E.2.4.4","4E.2.4","6","TX English Language Arts"
"4","Use Prepositional Phrases","4E.2.4.5","4E.2.4","6","TX English Language Arts"
"4","Use Conjunctions","4E.2.4.6","4E.2.4","6","TX English Language Arts"
"4","Accuracy When Using Apostrophes","4E.2.4.7","4E.2.4","6","TX English Language Arts"
"4","Accuracy When Using Objective Case Pronouns","4E.2.4.8","4E.2.4","6","TX English Language Arts"
"4","Selects and Uses Writing Processes","4E.2.5","4E.2","5","TX English Language Arts"
"4","Generates Ideas and Plans","4E.2.5.1","4E.2.5","6","TX English Language Arts"
"4","Develop Drafts","4E.2.5.2","4E.2.5","6","TX English Language Arts"
"4","Revised Selected Drafts","4E.2.5.3","4E.2.5","6","TX English Language Arts"
"4","Revise Drafts for Coherence","4E.2.5.4","4E.2.5","6","TX English Language Arts"
"4","Edit Drafts for Specific Purposes","4E.2.5.5","4E.2.5","6","TX English Language Arts"
"4","Use Available Technology","4E.2.5.6","4E.2.5","6","TX English Language Arts"
"4","Refine Selected Pieces","4E.2.5.7","4E.2.5","6","TX English Language Arts"
"4","Proofread Own Writing and That of Others","4E.2.5.8","4E.2.5","6","TX English Language Arts"
"4","Select and Use Reference Materials","4E.2.5.9","4E.2.5","6","TX English Language Arts"
"4","Evaluates Own Writing and the Writings of Others","4E.2.6","4E.2","5","TX English Language Arts"
"4","Apply Criteria to Evaluate Writing","4E.2.6.1","4E.2.6","6","TX English Language Arts"
"4","Respond in Constructive Ways","4E.2.6.2","4E.2.6","6","TX English Language Arts"
"4","Evaluate Own Writing","4E.2.6.3","4E.2.6","6","TX English Language Arts"
"4","Analyze Published Examples","4E.2.6.4","4E.2.6","6","TX English Language Arts"
"4","Review a Collection of Written Work","4E.2.6.5","4E.2.6","6","TX English Language Arts"
"4","Uses Writing as a Tool","4E.2.7","4E.2","5","TX English Language Arts"
"4","Frame Questions to Direct Research","4E.2.7.1","4E.2.7","6","TX English Language Arts"
"4","Organize Prior Knowledge","4E.2.7.2","4E.2.7","6","TX English Language Arts"
"4","Take Notes From Relevant Sources","4E.2.7.3","4E.2.7","6","TX English Language Arts"
"4","Summarize and Organize Ideas","4E.2.7.4","4E.2.7","6","TX English Language Arts"
"4","Present Information","4E.2.7.5","4E.2.7","6","TX English Language Arts"
"4","Evaluate His-Her Own Research","4E.2.7.6","4E.2.7","6","TX English Language Arts"
"4","Interacts with Writers","4E.2.8","4E.2","5","TX English Language Arts"
"4","Collaborate with Other Writers","4E.2.8.1","4E.2.8","6","TX English Language Arts"
"4","Correspond with Peers or Others Via Mail","4E.2.8.2","4E.2.8","6","TX English Language Arts"
"4","Understands and Interprets Visual Images","4E.2.9","4E.2","5","TX English Language Arts"
"4","Illustrators' Choice of Style, Elements, and Media","4E.2.9.1","4E.2.9","6","TX English Language Arts"
"4","Interpret Important Events and Ideas","4E.2.9.2","4E.2.9","6","TX English Language Arts"
"4","Use Media to Compare Ideas and Points of View","4E.2.9.3","4E.2.9","6","TX English Language Arts"
"4","Significance of Visual Images,Messages, & Meaning","4E.2.10","4E.2","5","TX English Language Arts"
"4","Interpret and Evaluate","4E.2.10.1","4E.2.10","6","TX English Language Arts"
"4","Compare and Contrast Media","4E.2.10.2","4E.2.10","6","TX English Language Arts"
"4","Visual Images, Messages, and Meanings","4E.2.11","4E.2","5","TX English Language Arts"
"4","Select, Organize,or Produce Visuals","4E.2.11.1","4E.2.11","6","TX English Language Arts"
"4","Produce Communications Using Technology","4E.2.11.2","4E.2.11","6","TX English Language Arts"
"4","Mathematics","4M","4","3","TX Mathematics"
"4","Place Value to Represent Whole Numbers and Decimal","4M.1","4M","4","TX Mathematics"
"4","Place Value to Read,Write,Compare,Order Whole Num.","4M.1.1","4M.1","5","TX Mathematics"
"4","Place Value to Read, Write, Compare, Order Decimal","4M.1.2","4M.1","5","TX Mathematics"
"4","Describes and Compares Fractional Parts","4M.2","4M","4","TX Mathematics"
"4","Generate Equivalent Fractions","4M.2.1","4M.2","5","TX Mathematics"
"4","Model Fraction Quantities","4M.2.2","4M.2","5","TX Mathematics"
"4","Compare and Order Fractions","4M.2.3","4M.2","5","TX Mathematics"
"4","Relate Decimals to Fractions","4M.2.4","4M.2","5","TX Mathematics"
"4","Adds and Subtracts to Solve","4M.3","4M","4","TX Mathematics"
"4","Use Addition and Subtraction to Solve Problems","4M.3.1","4M.3","5","TX Mathematics"
"4","Add and Subtract Decimals","4M.3.2","4M.3","5","TX Mathematics"
"4","Multiplies and Divides to Solve Meaningful Problem","4M.4","4M","4","TX Mathematics"
"4","Model Factors and Products","4M.4.1","4M.4","5","TX Mathematics"
"4","Represent Multiplication and Division Situations","4M.4.2","4M.4","5","TX Mathematics"
"4","Recall and Apply Multiplication Facts","4M.4.3","4M.4","5","TX Mathematics"
"4","Use Multiplication to Solve Problems","4M.4.4","4M.4","5","TX Mathematics"
"4","Use Division to Solve Problems","4M.4.5","4M.4","5","TX Mathematics"
"4","Estimates to Determine Reasonable Results","4M.5","4M","4","TX Mathematics"
"4","Round Whole Num. to the Nearest Ten,Hun.or Thou.","4M.5.1","4M.5","5","TX Mathematics"
"4","Estimate a Product or Quotient","4M.5.2","4M.5","5","TX Mathematics"
"4","Uses Patterns in Multiplication and Division","4M.6","4M","4","TX Mathematics"
"4","Use Patterns to Develop Strategies","4M.6.1","4M.6","5","TX Mathematics"
"4","Solve Division Problems","4M.6.2","4M.6","5","TX Mathematics"
"4","Use Patterns to Multiply by 10 and 100","4M.6.3","4M.6","5","TX Mathematics"
"4","Uses Organizational Structures","4M.7","4M","4","TX Mathematics"
"4","Describe Relationship Between 2 Sets Related Data","4M.7.1","4M.7","5","TX Mathematics"
"4","Identifies and Describes Lines,Shapes and Solids","4M.8","4M","4","TX Mathematics"
"4","Identify Right, Acute and Obtuse Angles","4M.8.1","4M.8","5","TX Mathematics"
"4","Identify Models of Parallel and Perpendicular Line","4M.8.2","4M.8","5","TX Mathematics"
"4","Describe Shapes and Solids","4M.8.3","4M.8","5","TX Mathematics"
"4","Connects Transformations to Congruence & Symmetry","4M.9","4M","4","TX Mathematics"
"4","Demonstrate Translations, Reflections, & Rotations","4M.9.1","4M.9","5","TX Mathematics"
"4","Use Translations, Reflections, and Rotations","4M.9.2","4M.9","5","TX Mathematics"
"4","Use Reflections to Verify","4M.9.3","4M.9","5","TX Mathematics"
"4","Numbers and Points on a Number Line","4M.10","4M","4","TX Mathematics"
"4","Locate and Name Points on a Number Line","4M.10.1","4M.10","5","TX Mathematics"
"4","Appropriate Units and Procedures","4M.11","4M","4","TX Mathematics"
"4","Estimate and Measure Weight","4M.11.1","4M.11","5","TX Mathematics"
"4","Estimate and Measure Capacity","4M.11.2","4M.11","5","TX Mathematics"
"4","Applies Measurement Concepts","4M.12","4M","4","TX Mathematics"
"4","Measure to Solve Problems","4M.12.1","4M.12","5","TX Mathematics"
"4","Solve Problems","4M.13","4M","4","TX Mathematics"
"4","List Possible Outcomes of a Probability Experiment","4M.13.1","4M.13","5","TX Mathematics"
"4","Use a Pair of Numbers to Compare Favorable Outcome","4M.13.2","4M.13","5","TX Mathematics"
"4","Interpret Bar Graph","4M.13.3","4M.13","5","TX Mathematics"
"4","Applies Grade 4 Math to Solve Problems","4M.14","4M","4","TX Mathematics"
"4","Identify the Mathematics in Everyday Situations","4M.14.1","4M.14","5","TX Mathematics"
"4","Use a Problem-Solving Model","4M.14.2","4M.14","5","TX Mathematics"
"4","Select Develop Appropriate Problem-SolvingStrategy","4M.14.3","4M.14","5","TX Mathematics"
"4","Use Tools","4M.14.4","4M.14","5","TX Mathematics"
"4","Communicates About Grade 4 Mathematics","4M.15","4M","4","TX Mathematics"
"4","Explain and Record Observations","4M.15.1","4M.15","5","TX Mathematics"
"4","Relate Informal Language","4M.15.2","4M.15","5","TX Mathematics"
"4","Uses Logical Reasoning","4M.16","4M","4","TX Mathematics"
"4","Make Generalization","4M.16.1","4M.16","5","TX Mathematics"
"4","Justify Why an Answer is Reasonable","4M.16.2","4M.16","5","TX Mathematics"
"5","Grade 5","5","TX","2",""
"5","English Language Arts","5E","5","3","TX English Language Arts"
"5","Reading","5E.1","5E","4","TX English Language Arts"
"5","Uses a Variety of Word Identification Strategies","5E.1.1","5E.1","5","TX English Language Arts"
"5","Apply Knowledge of Letter-Sound Correspondences","5E.1.1.1","5E.1.1","6","TX English Language Arts"
"5","Use Structural Analysis to Identify Root Words","5E.1.1.2","5E.1.1","6","TX English Language Arts"
"5","Meanings, Pronunciations, & Derivation of Words","5E.1.1.3","5E.1.1","6","TX English Language Arts"
"5","Reads with Fluency and Understanding","5E.1.2","5E.1","5","TX English Language Arts"
"5","Read Regularly in Independent-Level Materials","5E.1.2.1","5E.1.2","6","TX English Language Arts"
"5","Read Regularly in Instructional-Level Materials","5E.1.2.2","5E.1.2","6","TX English Language Arts"
"5","Characteristics of Fluent and Effective Reading","5E.1.2.3","5E.1.2","6","TX English Language Arts"
"5","Adjust Reading Rate","5E.1.2.4","5E.1.2","6","TX English Language Arts"
"5","Read Aloud in Selected Texts","5E.1.2.5","5E.1.2","6","TX English Language Arts"
"5","Read Silently with Increasing Ease","5E.1.2.6","5E.1.2","6","TX English Language Arts"
"5","Reads Widely for Different Purposes","5E.1.3","5E.1","5","TX English Language Arts"
"5","Read Classic and Contemporary Works","5E.1.3.1","5E.1.3","6","TX English Language Arts"
"5","Select Varied Sources","5E.1.3.2","5E.1.3","6","TX English Language Arts"
"5","Read for Varied Purposes","5E.1.3.3","5E.1.3","6","TX English Language Arts"
"5","Acquires an Extensive Vocabulary","5E.1.4","5E.1","5","TX English Language Arts"
"5","Develop Vocabulary by Listening","5E.1.4.1","5E.1.4","6","TX English Language Arts"
"5","Bring Meaning to Words in Context","5E.1.4.2","5E.1.4","6","TX English Language Arts"
"5","Use Multiple Reference Aids","5E.1.4.3","5E.1.4","6","TX English Language Arts"
"5","Determine Meanings of Derivatives","5E.1.4.4","5E.1.4","6","TX English Language Arts"
"5","Study Word Meanings Systematically","5E.1.4.5","5E.1.4","6","TX English Language Arts"
"5","Comprehends Selections","5E.1.5","5E.1","5","TX English Language Arts"
"5","Knowledge and Experience to Comprehend","5E.1.5.1","5E.1.5","6","TX English Language Arts"
"5","Establish and Adjust Purposes for Reading","5E.1.5.2","5E.1.5","6","TX English Language Arts"
"5","Monitor His Her Own Comprehension","5E.1.5.3","5E.1.5","6","TX English Language Arts"
"5","Describe Mental Images","5E.1.5.4","5E.1.5","6","TX English Language Arts"
"5","Use the Text's Structure","5E.1.5.5","5E.1.5","6","TX English Language Arts"
"5","Determine a Text's Main (or Major) Ideas","5E.1.5.6","5E.1.5","6","TX English Language Arts"
"5","Paraphrase and Summarize Text","5E.1.5.7","5E.1.5","6","TX English Language Arts"
"5","Draw Inferences","5E.1.5.8","5E.1.5","6","TX English Language Arts"
"5","Similarities and Differences Across Texts","5E.1.5.9","5E.1.5","6","TX English Language Arts"
"5","Distinguish Facts and Opinion","5E.1.5.10","5E.1.5","6","TX English Language Arts"
"5","Different Types and Levels of Questions","5E.1.5.11","5E.1.5","6","TX English Language Arts"
"5","Represent Text Information","5E.1.5.12","5E.1.5","6","TX English Language Arts"
"5","Expresses and Supports Responses","5E.1.6","5E.1","5","TX English Language Arts"
"5","Offer Observations","5E.1.6.1","5E.1.6","6","TX English Language Arts"
"5","Interpret Text Ideas","5E.1.6.2","5E.1.6","6","TX English Language Arts"
"5","Support Responses","5E.1.6.3","5E.1.6","6","TX English Language Arts"
"5","Connect, Compare, and Contrast Ideas","5E.1.6.4","5E.1.6","6","TX English Language Arts"
"5","Analyzes the Characteristics of Texts (Genres)","5E.1.7","5E.1","5","TX English Language Arts"
"5","Judge the Internal Consistency or Logic","5E.1.7.1","5E.1.7","6","TX English Language Arts"
"5","Authors Organize Information in Specific Ways","5E.1.7.2","5E.1.7","6","TX English Language Arts"
"5","Identify the Purposes of Different Types of Texts","5E.1.7.3","5E.1.7","6","TX English Language Arts"
"5","The Distinguishing Features of Genres","5E.1.7.4","5E.1.7","6","TX English Language Arts"
"5","Compare Communication","5E.1.7.5","5E.1.7","6","TX English Language Arts"
"5","Understand and Identify Literary Terms","5E.1.7.6","5E.1.7","6","TX English Language Arts"
"5","Understand Literary Forms","5E.1.7.7","5E.1.7","6","TX English Language Arts"
"5","Analyze Characters","5E.1.7.8","5E.1.7","6","TX English Language Arts"
"5","Story Plot, Setting, and Problem Resolution","5E.1.7.9","5E.1.7","6","TX English Language Arts"
"5","Author's Perspective or Point of View","5E.1.7.10","5E.1.7","6","TX English Language Arts"
"5","Inquires and Conducts Research","5E.1.8","5E.1","5","TX English Language Arts"
"5","Form and Revise Questions for Investigations","5E.1.8.1","5E.1.8","6","TX English Language Arts"
"5","Use Text Organizers","5E.1.8.2","5E.1.8","6","TX English Language Arts"
"5","Use Multiple Sources","5E.1.8.3","5E.1.8","6","TX English Language Arts"
"5","Interpret and Use Graphic Sources","5E.1.8.4","5E.1.8","6","TX English Language Arts"
"5","Summarize and Organize Information","5E.1.8.5","5E.1.8","6","TX English Language Arts"
"5","Produce Research Projects and Reports","5E.1.8.6","5E.1.8","6","TX English Language Arts"
"5","Draw Conclusions from Information","5E.1.8.7","5E.1.8","6","TX English Language Arts"
"5","Compiled Information and Knowledge","5E.1.8.8","5E.1.8","6","TX English Language Arts"
"5","Reads to Increase Knowledge","5E.1.9","5E.1","5","TX English Language Arts"
"5","Compare Text Events","5E.1.9.1","5E.1.9","6","TX English Language Arts"
"5","Distinctive and Common Characteristics of Cultures","5E.1.9.2","5E.1.9","6","TX English Language Arts"
"5","Themes and Connections","5E.1.9.3","5E.1.9","6","TX English Language Arts"
"5","Writing","5E.2","5E","4","TX English Language Arts"
"5","Writes for a Variety of Audiences and Purposes","5E.2.1","5E.2","5","TX English Language Arts"
"5","Write to Express","5E.2.1.1","5E.2.1","6","TX English Language Arts"
"5","Write to Influence","5E.2.1.2","5E.2.1","6","TX English Language Arts"
"5","Write to Inform","5E.2.1.3","5E.2.1","6","TX English Language Arts"
"5","Write to Entertain","5E.2.1.4","5E.2.1","6","TX English Language Arts"
"5","Exhibit an Identifiable Voice","5E.2.1.5","5E.2.1","6","TX English Language Arts"
"5","Choose the Appropriate Form","5E.2.1.6","5E.2.1","6","TX English Language Arts"
"5","Use Literary Devices","5E.2.1.7","5E.2.1","6","TX English Language Arts"
"5","Compose Original Texts","5E.2.2","5E.2","5","TX English Language Arts"
"5","Write Legibly","5E.2.2.1","5E.2.2","6","TX English Language Arts"
"5","Capitalize and Punctuate Correctly","5E.2.2.2","5E.2.2","6","TX English Language Arts"
"5","Spells Proficiently","5E.2.3","5E.2","5","TX English Language Arts"
"5","Accurate Spelling of Syllable Constructions","5E.2.3.1","5E.2.3","6","TX English Language Arts"
"5","Accurate Spelling of Roots","5E.2.3.2","5E.2.3","6","TX English Language Arts"
"5","Resources to Find Correct Spellings","5E.2.3.3","5E.2.3","6","TX English Language Arts"
"5","Spell Accurately in Final Drafts","5E.2.3.4","5E.2.3","6","TX English Language Arts"
"5","Applies Standard Grammar and Usage","5E.2.4","5E.2","5","TX English Language Arts"
"5","Use Regular and Irregular Plurals","5E.2.4.1","5E.2.4","6","TX English Language Arts"
"5","Write in Complete Sentences","5E.2.4.2","5E.2.4","6","TX English Language Arts"
"5","Employ Standard English Usage","5E.2.4.3","5E.2.4","6","TX English Language Arts"
"5","Use Adjectives","5E.2.4.4","5E.2.4","6","TX English Language Arts"
"5","Use Prepositional Phrases","5E.2.4.5","5E.2.4","6","TX English Language Arts"
"5","Use Conjunctions","5E.2.4.6","5E.2.4","6","TX English Language Arts"
"5","Accuracy When Using Apostrophes","5E.2.4.7","5E.2.4","6","TX English Language Arts"
"5","Accuracy When Using Objective Case Pronouns","5E.2.4.8","5E.2.4","6","TX English Language Arts"
"5","Selects and Uses Writing Processes","5E.2.5","5E.2","5","TX English Language Arts"
"5","Generate Ideas and Plans For Writing","5E.2.5.1","5E.2.5","6","TX English Language Arts"
"5","Develop Drafts by Categorizing Ideas","5E.2.5.2","5E.2.5","6","TX English Language Arts"
"5","Revise Selected Drafts","5E.2.5.3","5E.2.5","6","TX English Language Arts"
"5","Revise Draft for Coherence","5E.2.5.4","5E.2.5","6","TX English Language Arts"
"5","Edit Drafts for Specific Purposes","5E.2.5.5","5E.2.5","6","TX English Language Arts"
"5","Use Available Technology","5E.2.5.6","5E.2.5","6","TX English Language Arts"
"5","Refine Selected Pieces","5E.2.5.7","5E.2.5","6","TX English Language Arts"
"5","Proofread Own Writing","5E.2.5.8","5E.2.5","6","TX English Language Arts"
"5","Select and Use Reference Materials","5E.2.5.9","5E.2.5","6","TX English Language Arts"
"5","Evaluates His Her Own Writing","5E.2.6","5E.2","5","TX English Language Arts"
"5","Apply Criteria to Evaluate Writing","5E.2.6.1","5E.2.6","6","TX English Language Arts"
"5","Respond in Constructive Ways","5E.2.6.2","5E.2.6","6","TX English Language Arts"
"5","How Writing Achieves its Purposes","5E.2.6.3","5E.2.6","6","TX English Language Arts"
"5","Analyze Published Examples","5E.2.6.4","5E.2.6","6","TX English Language Arts"
"5","Review a Collection of Written Works","5E.2.6.5","5E.2.6","6","TX English Language Arts"
"5","Uses Writing as a Tool","5E.2.7","5E.2","5","TX English Language Arts"
"5","Frame Questions to Direct Research","5E.2.7.1","5E.2.7","6","TX English Language Arts"
"5","Organize Prior Knowledge","5E.2.7.2","5E.2.7","6","TX English Language Arts"
"5","Notes from Relevant and Authoritative Sources","5E.2.7.3","5E.2.7","6","TX English Language Arts"
"5","Summarize and Organize Ideas","5E.2.7.4","5E.2.7","6","TX English Language Arts"
"5","Present Information","5E.2.7.5","5E.2.7","6","TX English Language Arts"
"5","Evaluate His Her Own Research","5E.2.7.6","5E.2.7","6","TX English Language Arts"
"5","Interacts with Writers","5E.2.8","5E.2","5","TX English Language Arts"
"5","Collaborate with Other Writers","5E.2.8.1","5E.2.8","6","TX English Language Arts"
"5","Correspond with Peers via Mail","5E.2.8.2","5E.2.8","6","TX English Language Arts"
"5","Understands and Interprets Visual Images","5E.2.9","5E.2","5","TX English Language Arts"
"5","Choices of Style, Elements, and Media","5E.2.9.1","5E.2.9","6","TX English Language Arts"
"5","Interpret Important Events and Ideas","5E.2.9.2","5E.2.9","6","TX English Language Arts"
"5","Use Media to Compare Ideas and Points of View","5E.2.9.3","5E.2.9","6","TX English Language Arts"
"5","Significance of Visual Images,Messages,& Meanings","5E.2.10","5E.2","5","TX English Language Arts"
"5","Ways Visual Image Makers Represent Meanings","5E.2.10.1","5E.2.10","6","TX English Language Arts"
"5","Print, Visual, and Electronic Media","5E.2.10.2","5E.2.10","6","TX English Language Arts"
"5","Visual Images, Messages, and Meanings","5E.2.11","5E.2","5","TX English Language Arts"
"5","Select, Organize, or Produce Visuals","5E.2.11.1","5E.2.11","6","TX English Language Arts"
"5","Produce Communications Using Technology","5E.2.11.2","5E.2.11","6","TX English Language Arts"
"5","Mathematics","5M","5","3","TX Mathematics"
"5","Place Value to Represent Whole Numbers and Decimal","5M.1","5M","4","TX Mathematics"
"5","Place Value to Read,Write,Compare,Order Whole Num.","5M.1.1","5M.1","5","TX Mathematics"
"5","Place Value to Read,Write,Compare,Order Decimals","5M.1.2","5M.1","5","TX Mathematics"
"5","Fractions in Problem-Solving Situations","5M.2","5M","4","TX Mathematics"
"5","Generate Equivalent Fractions","5M.2.1","5M.2","5","TX Mathematics"
"5","Compare Two Fractional Quantities","5M.2.2","5M.2","5","TX Mathematics"
"5","Use Models to Relate Decimals to Fractions","5M.2.3","5M.2","5","TX Mathematics"
"5","Adds,Subt,Mult,and Div. to Solve Meaningful Prob.","5M.3","5M","4","TX Mathematics"
"5","Addition and Subtraction to Solve Problems","5M.3.1","5M.3","5","TX Mathematics"
"5","Multiplication to Solve Problems","5M.3.2","5M.3","5","TX Mathematics"
"5","Division to Solve Problems","5M.3.3","5M.3","5","TX Mathematics"
"5","Identify Prime Factors","5M.3.4","5M.3","5","TX Mathematics"
"5","Model and Record Addition and Subtraction","5M.3.5","5M.3","5","TX Mathematics"
"5","Estimates to Determine Reasonable Results","5M.4","5M","4","TX Mathematics"
"5","Round Whole Numbers and Decimals Through Tenths","5M.4.1","5M.4","5","TX Mathematics"
"5","Estimate to Solve Problems","5M.4.2","5M.4","5","TX Mathematics"
"5","Makes Generalizations","5M.5","5M","4","TX Mathematics"
"5","Use Concrete Objects or Pictures","5M.5.1","5M.5","5","TX Mathematics"
"5","Use Lists,Tables,Charts,&Diagrams to Find Patterns","5M.5.2","5M.5","5","TX Mathematics"
"5","Identify Prime and Composite Numbers","5M.5.3","5M.5","5","TX Mathematics"
"5","Describes Relationships Mathematically","5M.6","5M","4","TX Mathematics"
"5","Select From & Use Diagrams & Number Sentences","5M.6.1","5M.6","5","TX Mathematics"
"5","Generates Geometric Definitions","5M.7","5M","4","TX Mathematics"
"5","Identify Critical Attributes","5M.7.1","5M.7","5","TX Mathematics"
