"","Ctb assessment bank","CTB","0","1",""
"4","Decimals","4M.1.7.2","4M.1.7","1","CTB Mathematics"
"4","Money","4M.1.7.3","4M.1.7","1","CTB Mathematics"
"4","Number theory","4M.1.8","4M.1","1","CTB Mathematics"
"4","Identify numbers as even or odd","4M.1.8.1","4M.1.8","1","CTB Mathematics"
"4","Identify factors","4M.1.8.3","4M.1.8","1","CTB Mathematics"
"4","Identify the square of numbers","4M.1.8.4","4M.1.8","1","CTB Mathematics"
"4","Identify prime, composite numbers","4M.1.8.6","4M.1.8","1","CTB Mathematics"
"4","Identify greatest common factor","4M.1.8.7","4M.1.8","1","CTB Mathematics"
"4","Identify least common multiple","4M.1.8.8","4M.1.8","1","CTB Mathematics"
"4","Computation","4M.1.9","4M.1","1","CTB Mathematics"
"4","Whole numbers","4M.1.9.1","4M.1.9","1","CTB Mathematics"
"4","Money","4M.1.9.2","4M.1.9","1","CTB Mathematics"
"4","Decimals","4M.1.9.3","4M.1.9","1","CTB Mathematics"
"4","Fractions","4M.1.9.4","4M.1.9","1","CTB Mathematics"
"4","Estimation","4M.1.10","4M.1","1","CTB Mathematics"
"4","Estimate sums and differences","4M.1.10.1","4M.1.10","1","CTB Mathematics"
"4","Recognize when to estimate","4M.1.10.3","4M.1.10","1","CTB Mathematics"
"4","Estimate products and quotients","4M.1.10.5","4M.1.10","1","CTB Mathematics"
"4","Operation sense","4M.1.11","4M.1","1","CTB Mathematics"
"4","Use signs, vocab. for basic operations","4M.1.11.1","4M.1.11","1","CTB Mathematics"
"4","Use grouping symbols for intended order of oper.","4M.1.11.2","4M.1.11","1","CTB Mathematics"
"4","Properties of real numbers","4M.1.12","4M.1","1","CTB Mathematics"
"4","Identity element","4M.1.12.1","4M.1.12","1","CTB Mathematics"
"4","Commutative property","4M.1.12.2","4M.1.12","1","CTB Mathematics"
"4","Associative property","4M.1.12.3","4M.1.12","1","CTB Mathematics"
"4","Understand the role of zero in multiplication","4M.1.12.4","4M.1.12","1","CTB Mathematics"
"4","Represent operations","4M.1.13","4M.1","1","CTB Mathematics"
"4","Use manip., diagrams to illustrate operations","4M.1.13.1","4M.1.13","1","CTB Mathematics"
"4","Illustrate multiplication as repeated addition","4M.1.13.3","4M.1.13","1","CTB Mathematics"
"4","Recognize multip., division as inverses","4M.1.13.6","4M.1.13","1","CTB Mathematics"
"4","Algebra","4M.2","4M","1","CTB Mathematics"
"4","Patterns, functions, rules","4M.2.1","4M.2","1","CTB Mathematics"
"4","Extend, predict terms for number or geo. patterns","4M.2.1.1","4M.2.1","1","CTB Mathematics"
"4","Find missing elements in patterns","4M.2.1.2","4M.2.1","1","CTB Mathematics"
"4","State rule for number, geometric pattern, t-table","4M.2.1.3","4M.2.1","1","CTB Mathematics"
"4","Use a function rule to solve problems","4M.2.1.4","4M.2.1","1","CTB Mathematics"
"4","Complete a table using given rule","4M.2.1.5","4M.2.1","1","CTB Mathematics"
"4","Recognize similar patterns","4M.2.1.6","4M.2.1","1","CTB Mathematics"
"4","Variable","4M.2.2","4M.2","1","CTB Mathematics"
"4","Fill in missing element in number sentences","4M.2.2.1","4M.2.2","1","CTB Mathematics"
"4","Equation","4M.2.3","4M.2","1","CTB Mathematics"
"4","Express mathematical relationships using equations","4M.2.3.1","4M.2.3","1","CTB Mathematics"
"4","Solve # sentences involving one operation one var.","4M.2.3.2","4M.2.3","1","CTB Mathematics"
"4","Recognize two equivalent quantities remain eq.","4M.2.3.3","4M.2.3","1","CTB Mathematics"
"4","Inequality","4M.2.4","4M.2","1","CTB Mathematics"
"4","Recognize inequality","4M.2.4.1","4M.2.4","1","CTB Mathematics"
"4","Graph inequality","4M.2.4.2","4M.2.4","1","CTB Mathematics"
"4","Geometry","4M.3","4M","1","CTB Mathematics"
"4","Plane figures","4M.3.1","4M.3","1","CTB Mathematics"
"4","Identify, classify plane figures","4M.3.1.1","4M.3.1","1","CTB Mathematics"
"4","Draw diagonals in plane figures","4M.3.1.3","4M.3.1","1","CTB Mathematics"
"4","Solid figures","4M.3.2","4M.3","1","CTB Mathematics"
"4","Identify, classify solid figures","4M.3.2.1","4M.3.2","1","CTB Mathematics"
"4","Describe attributes, properties of solid figures","4M.3.2.2","4M.3.2","1","CTB Mathematics"
"4","Angles","4M.3.3","4M.3","1","CTB Mathematics"
"4","Identify angles","4M.3.3.1","4M.3.3","1","CTB Mathematics"
"4","Triangles","4M.3.4","4M.3","1","CTB Mathematics"
"4","Identify attributes of triangles","4M.3.4.1","4M.3.4","1","CTB Mathematics"
"4","Parts of a circle","4M.3.5","4M.3","1","CTB Mathematics"
"4","Label parts of a circle","4M.3.5.1","4M.3.5","1","CTB Mathematics"
"4","Identify relationship between diameter and radius","4M.3.5.2","4M.3.5","1","CTB Mathematics"
"4","Coordiinate geometry","4M.3.6","4M.3","1","CTB Mathematics"
"4","Locate points","4M.3.6.1","4M.3.6","1","CTB Mathematics"
"4","Graph ordered pairs","4M.3.6.2","4M.3.6","1","CTB Mathematics"
"4","Parallel, perpendicular, intersecting lines","4M.3.7","4M.3","1","CTB Mathematics"
"4","Identify line segments","4M.3.7.1","4M.3.7","1","CTB Mathematics"
"4","Congruence, similarity","4M.3.8","4M.3","1","CTB Mathematics"
"4","Identify congruent shapes and figures","4M.3.8.1","4M.3.8","1","CTB Mathematics"
"4","Identify similar shapes and figures","4M.3.8.2","4M.3.8","1","CTB Mathematics"
"4","Symmetry","4M.3.9","4M.3","1","CTB Mathematics"
"4","Identify and create shapes that have symmetry","4M.3.9.1","4M.3.9","1","CTB Mathematics"
"4","Identify lines of symmetry","4M.3.9.2","4M.3.9","1","CTB Mathematics"
"4","Transformations","4M.3.10","4M.3","1","CTB Mathematics"
"4","Identify, apply rotations, reflections, transl.","4M.3.10.1","4M.3.10","1","CTB Mathematics"
"4","Associate quarter turns w-number of degrees","4M.3.10.2","4M.3.10","1","CTB Mathematics"
"4","Spatial reasoning","4M.3.11","4M.3","1","CTB Mathematics"
"4","Investigate, predict results of comb., subd. shape","4M.3.11.2","4M.3.11","1","CTB Mathematics"
"4","Measurement","4M.4","4M","1","CTB Mathematics"
"4","Appropriate tool","4M.4.1","4M.4","1","CTB Mathematics"
"4","Select appropriate tool","4M.4.1.1","4M.4.1","1","CTB Mathematics"
"4","Appropriate unit","4M.4.2","4M.4","1","CTB Mathematics"
"4","Select appropriate unit","4M.4.2.1","4M.4.2","1","CTB Mathematics"
"4","Time","4M.4.3","4M.4","1","CTB Mathematics"
"4","Tell time","4M.4.3.1","4M.4.3","1","CTB Mathematics"
"4","Determine elapsed time","4M.4.3.2","4M.4.3","1","CTB Mathematics"
"4","Relate equivalent units of time","4M.4.3.3","4M.4.3","1","CTB Mathematics"
"4","Temperature","4M.4.4","4M.4","1","CTB Mathematics"
"4","Read thermometers","4M.4.4.1","4M.4.4","1","CTB Mathematics"
"4","Length, distance","4M.4.5","4M.4","1","CTB Mathematics"
"4","Determine length, distance","4M.4.5.1","4M.4.5","1","CTB Mathematics"
"4","Estimate length, distance","4M.4.5.2","4M.4.5","1","CTB Mathematics"
"4","Mass, weight","4M.4.6","4M.4","1","CTB Mathematics"
"4","Read a scale","4M.4.6.1","4M.4.6","1","CTB Mathematics"
"4","Estimate mass, weight","4M.4.6.2","4M.4.6","1","CTB Mathematics"
"4","Volume, capacity","4M.4.7","4M.4","1","CTB Mathematics"
"4","Measure volume","4M.4.7.1","4M.4.7","1","CTB Mathematics"
"4","Estimate volume, capacity","4M.4.7.2","4M.4.7","1","CTB Mathematics"
"4","Convert measurement units","4M.4.8","4M.4","1","CTB Mathematics"
"4","Convert within the same system","4M.4.8.1","4M.4.8","1","CTB Mathematics"
"4","Perimeter","4M.4.9","4M.4","1","CTB Mathematics"
"4","Find the perimeter of polygons","4M.4.9.1","4M.4.9","1","CTB Mathematics"
"4","Estimate perimeter","4M.4.9.2","4M.4.9","1","CTB Mathematics"
"4","Area","4M.4.10","4M.4","1","CTB Mathematics"
"4","Find the area of figures","4M.4.10.1","4M.4.10","1","CTB Mathematics"
"4","Estimate area","4M.4.10.2","4M.4.10","1","CTB Mathematics"
"4","Data analysis and probability","4M.5","4M","1","CTB Mathematics"
"4","Read and interpret data","4M.5.1","4M.5","1","CTB Mathematics"
"4","Read and interpret data displays","4M.5.1.1","4M.5.1","1","CTB Mathematics"
"4","Compare data","4M.5.1.2","4M.5.1","1","CTB Mathematics"
"4","Use data to solve problems","4M.5.1.4","4M.5.1","1","CTB Mathematics"
"4","Make and evaluate predictions","4M.5.1.5","4M.5.1","1","CTB Mathematics"
"4","Describe features of a set of data","4M.5.1.6","4M.5.1","1","CTB Mathematics"
"4","Organize data","4M.5.2","4M.5","1","CTB Mathematics"
"4","Organize data","4M.5.2.1","4M.5.2","1","CTB Mathematics"
"4","Complete data display","4M.5.2.2","4M.5.2","1","CTB Mathematics"
"4","Restructure display to include additional info.","4M.5.2.3","4M.5.2","1","CTB Mathematics"
"4","Select correct data display for set of data","4M.5.2.4","4M.5.2","1","CTB Mathematics"
"4","Select appropriate way to organize, display data","4M.5.2.5","4M.5.2","1","CTB Mathematics"
"4","Probability","4M.5.3","4M.5","1","CTB Mathematics"
"4","Determine probability of events","4M.5.3.2","4M.5.3","1","CTB Mathematics"
"4","Express probability of event as a fraction, ratio","4M.5.3.5","4M.5.3","1","CTB Mathematics"
"4","Statistics","4M.5.4","4M.5","1","CTB Mathematics"
"4","Calculate, explain mean, median, mode, and range","4M.5.4.1","4M.5.4","1","CTB Mathematics"
"4","Discrete math","4M.5.5","4M.5","1","CTB Mathematics"
"4","Use and interpret venn diagrams","4M.5.5.1","4M.5.5","1","CTB Mathematics"
"4","Problem solving-reasoning-proof","4M.6","4M","1","CTB Mathematics"
"4","Identify missing, extra information","4M.6.1","4M.6","1","CTB Mathematics"
"4","Determine missing, extra information needed","4M.6.1.1","4M.6.1","1","CTB Mathematics"
"4","Develop strategy","4M.6.2","4M.6","1","CTB Mathematics"
"4","Determine, use appropriate strategy to solve prob.","4M.6.2.1","4M.6.2","1","CTB Mathematics"
"4","Identify strategy to solve simple problems","4M.6.2.3","4M.6.2","1","CTB Mathematics"
"4","Evaluate solution","4M.6.3","4M.6","1","CTB Mathematics"
"4","Use reasoning to explain, verify the correctness","4M.6.3.3","4M.6.3","1","CTB Mathematics"
"4","Inductive, deductive reasoning","4M.6.4","4M.6","1","CTB Mathematics"
"4","Use inductive, deductive reasoning","4M.6.4.1","4M.6.4","1","CTB Mathematics"
"4","Make and evaluate conjectures-proofs","4M.6.5","4M.6","1","CTB Mathematics"
"4","Make, test, conjecture, proofs","4M.6.5.1","4M.6.5","1","CTB Mathematics"
"4","Conclusion and generalization","4M.6.6","4M.6","1","CTB Mathematics"
"4","Use models, facts, relationships to draw concl.","4M.6.6.1","4M.6.6","1","CTB Mathematics"
"4","Solve multi-step problems","4M.6.7","4M.6","1","CTB Mathematics"
"4","Solve problems using more than one step","4M.6.7.1","4M.6.7","1","CTB Mathematics"
"4","Communication-representation","4M.7","4M","1","CTB Mathematics"
"4","Model problem solution","4M.7.1","4M.7","1","CTB Mathematics"
"4","Show how to solve problem","4M.7.1.1","4M.7.1","1","CTB Mathematics"
"4","Model problem situation","4M.7.2","4M.7","1","CTB Mathematics"
"4","Use math symbols, words to represent problem sit.","4M.7.2.1","4M.7.2","1","CTB Mathematics"
"4","Relate models to ideas","4M.7.3","4M.7","1","CTB Mathematics"
"4","Use models to identify, explain key math concepts","4M.7.3.1","4M.7.3","1","CTB Mathematics"
"4","Explain solution process","4M.7.5","4M.7","1","CTB Mathematics"
"4","Explain, justify, reason solution process","4M.7.5.1","4M.7.5","1","CTB Mathematics"
"4","Civics","4C","4C","1","CTB Civics"
"4","Role of government","4C.1","4C","1","CTB Civics"
"4","Rules and laws","4C.1.1","4C.1","1","CTB Civics"
"4","Principles and purposes of government","4C.1.2","4C.1","1","CTB Civics"
"4","American political heritage","4C.2","4C","1","CTB Civics"
"4","Symbols of the united states","4C.2.1","4C.2","1","CTB Civics"
"4","Democratic values and principles","4C.2.2","4C.2","1","CTB Civics"
"4","Declaration of independence","4C.2.3","4C.2","1","CTB Civics"
"4","Development of the constitution","4C.2.4","4C.2","1","CTB Civics"
"4","Structures and processes of the u.s. government","4C.3","4C","1","CTB Civics"
"4","Fed., state, local govt. responsibilities, powers","4C.3.2","4C.3","1","CTB Civics"
"4","Executive, legislative, judicial branches","4C.3.3","4C.3","1","CTB Civics"
"4","Bill of rights and other amendments","4C.3.4","4C.3","1","CTB Civics"
"4","Role of the citizen","4C.4","4C","1","CTB Civics"
"4","Rights and responsibilities of citizens","4C.4.1","4C.4","1","CTB Civics"
"4","Civic contributions of individuals, groups","4C.4.2","4C.4","1","CTB Civics"
"4","Becoming a citizen","4C.4.3","4C.4","1","CTB Civics"
"4","Economics","4E","4","1","CTB Economics"
"4","Economic choices","4E.1","4E","1","CTB Economics"
"4","Scarcity and choice","4E.1.1","4E.1","1","CTB Economics"
"4","Personal budgeting","4E.1.2","4E.1","1","CTB Economics"
"4","Opportunity costs and trade offs","4E.1.3","4E.1","1","CTB Economics"
"4","Production, distribution, consumption","4E.2","4E","1","CTB Economics"
"4","Consumers, producers, and distributors","4E.2.1","4E.2","1","CTB Economics"
"4","Goods and services","4E.2.2","4E.2","1","CTB Economics"
"4","Human, natural, and capital resources","4E.2.3","4E.2","1","CTB Economics"
"4","Forms of exchange","4E.3","4E","1","CTB Economics"
"4","Exchange and money","4E.3.1","4E.3","1","CTB Economics"
"4","Economic institutions","4E.4","4E","1","CTB Economics"
"4","Roles of various institutions","4E.4.1","4E.4","1","CTB Economics"
"4","Labor and  business","4E.5","4E","1","CTB Economics"
"4","Specialization","4E.5.1","4E.5","1","CTB Economics"
"4","Business structure","4E.5.2","4E.5","1","CTB Economics"
"4","Skills, knowledge, and careers","4E.5.3","4E.5","1","CTB Economics"
"4","Role of government","4E.6","4E","1","CTB Economics"
"4","Taxes and other sources of revenue","4E.6.1","4E.6","1","CTB Economics"
"4","Economic interdependence","4E.7","4E","1","CTB Economics"
"4","Trade","4E.7.1","4E.7","1","CTB Economics"
"4","Local, regional, global interdependence","4E.7.2","4E.7","1","CTB Economics"
"4","Application of economics","4E.8","4E","1","CTB Economics"
"4","Apply econ. to interpret present, plan for future","4E.8.1","4E.8","1","CTB Economics"
"4","Geography","4G","4","1","CTB Geography"
"4","The world in spatial terms","4G.1","4G","1","CTB Geography"
"4","Maps, graphics, and other tools","4G.1.1","4G.1","1","CTB Geography"
"4","Mental maps","4G.1.2","4G.1","1","CTB Geography"
"4","Places and regions","4G.2","4G","1","CTB Geography"
"4","Physical characteristics of places","4G.2.1","4G.2","1","CTB Geography"
"4","Human characteristics of places","4G.2.2","4G.2","1","CTB Geography"
"4","Regions","4G.2.3","4G.2","1","CTB Geography"
"4","Physical systems","4G.3","4G","1","CTB Geography"
"4","Ecosystems","4G.3.1","4G.3","1","CTB Geography"
"4","Human systems","4G.4","4G","1","CTB Geography"
"4","Settlement and migration","4G.4.1","4G.4","1","CTB Geography"
"4","Economic interdependence","4G.4.2","4G.4","1","CTB Geography"
"4","Division and control of earth's surface","4G.4.3","4G.4","1","CTB Geography"
"4","Environment and society","4G.5","4G","1","CTB Geography"
"4","Human actions modify the physical environment","4G.5.1","4G.5","1","CTB Geography"
"4","Physical systems affect human systems","4G.5.2","4G.5","1","CTB Geography"
"4","Resources","4G.5.3","4G.5","1","CTB Geography"
"4","The uses of geography","4G.6","4G","1","CTB Geography"
"4","Apply geography to interpret the past","4G.6.1","4G.6","1","CTB Geography"
"4","Apply geog. to interpret present, plan for future","4G.6.2","4G.6","1","CTB Geography"
"4","History","4H","4","1","CTB History"
"4","United states history","4H.1","4H","1","CTB History"
"4","Three worlds meet, to 1620","4H.1.1","4H.1","1","CTB History"
"4","Colonization and settlement, 1500-1763","4H.1.2","4H.1","1","CTB History"
"4","American revolution and the new nation, 1754-1820s","4H.1.3","4H.1","1","CTB History"
"4","Cross era themes","4H.1.4","4H.1","1","CTB History"
"4","World history","4H.2","4H","1","CTB History"
"4","Prehistoric times","4H.2.1","4H.2","1","CTB History"
"4","Cultures","4H.3","4H","1","CTB History"
"4","Different cultures","4H.3.1","4H.3","1","CTB History"
"4","Components of culture","4H.3.2","4H.3","1","CTB History"
"4","Preservation and assimilation of cultures","4H.3.3","4H.3","1","CTB History"
"4","Time cognition and chronology","4H.4","4H","1","CTB History"
"4","Time concepts and terms","4H.4.1","4H.4","1","CTB History"
"4","Historical research and analysis","4H.5","4H","1","CTB History"
"4","Obtain historical data","4H.5.1","4H.5","1","CTB History"
"4","Analyze historical data","4H.5.2","4H.5","1","CTB History"
"4","Science","4SC","4","1","CTB Science"
"4","Life science","4SC.1","4SC","1","CTB Science"
"4","Ecology","4SC.1.1","4SC.1","1","CTB Science"
"4","Habitat and adaptation","4SC.1.2","4SC.1","1","CTB Science"
"4","Heredity","4SC.1.3","4SC.1","1","CTB Science"
"4","Life cycles","4SC.1.4","4SC.1","1","CTB Science"
"4","Taxonomy","4SC.1.5","4SC.1","1","CTB Science"
"4","Physical science","4SC.2","4SC","1","CTB Science"
"4","Energy","4SC.2.1","4SC.2","1","CTB Science"
"4","Motions and forces","4SC.2.2","4SC.2","1","CTB Science"
"4","Structure and properties of matter","4SC.2.3","4SC.2","1","CTB Science"
"4","Earth and space science","4SC.3","4SC","1","CTB Science"
"4","Rock dynamics","4SC.3.1","4SC.3","1","CTB Science"
"4","Solar system","4SC.3.2","4SC.3","1","CTB Science"
"4","Weather, atmosphere, and climate","4SC.3.3","4SC.3","1","CTB Science"
"4","Water dynamics","4SC.3.4","4SC.3","1","CTB Science"
"4","Inquiry","4SC.4","4SC","1","CTB Science"
"4","Data interpretation","4SC.4.1","4SC.4","1","CTB Science"
"4","Methods and design","4SC.4.2","4SC.4","1","CTB Science"
"4","Science and technology","4SC.5","4SC","1","CTB Science"
"4","Design of technology","4SC.5.1","4SC.5","1","CTB Science"
"4","Use of technology","4SC.5.2","4SC.5","1","CTB Science"
"4","Personal and social perspectives in science","4SC.6","4SC","1","CTB Science"
"4","Environment","4SC.6.1","4SC.6","1","CTB Science"
"4","Health","4SC.6.2","4SC.6","1","CTB Science"
"4","Resources","4SC.6.3","4SC.6","1","CTB Science"
"4","Technology and society","4SC.6.4","4SC.6","1","CTB Science"
"5","Grade 5","5","CTB","1",""
"5","Reading","5R","5","1","CTB Reading"
"5","Vocabulary","5R.1","5R","1","CTB Reading"
"5","Word meaning","5R.1.1","5R.1","1","CTB Reading"
"5","Synonyms-antonyms-homonyms","5R.1.1.1","5R.1.1","1","CTB Reading"
"5","Context clues","5R.1.1.2","5R.1.1","1","CTB Reading"
"5","Multiple meaning","5R.1.1.3","5R.1.1","1","CTB Reading"
"5","Word analysis","5R.1.2","5R.1","1","CTB Reading"
"5","Suffixes","5R.1.2.1","5R.1.2","1","CTB Reading"
"5","Prefixes","5R.1.2.2","5R.1.2","1","CTB Reading"
"5","Compounds-contractions","5R.1.2.3","5R.1.2","1","CTB Reading"
"5","Root words","5R.1.2.4","5R.1.2","1","CTB Reading"
"5","Word origins","5R.1.2.5","5R.1.2","1","CTB Reading"
"5","Basic understanding","5R.2","5R","1","CTB Reading"
"5","Text elements","5R.2.1","5R.2","1","CTB Reading"
"5","Plot","5R.2.1.1","5R.2.1","1","CTB Reading"
"5","Setting","5R.2.1.2","5R.2.1","1","CTB Reading"
"5","Character","5R.2.1.3","5R.2.1","1","CTB Reading"
"5","Sequence of events-information","5R.2.1.4","5R.2.1","1","CTB Reading"
"5","Problem-solution","5R.2.1.5","5R.2.1","1","CTB Reading"
"5","Main idea","5R.2.1.6","5R.2.1","1","CTB Reading"
"5","Stated information","5R.2.2","5R.2","1","CTB Reading"
"5","Facts-details","5R.2.2.1","5R.2.2","1","CTB Reading"
"5","Following directions","5R.2.3","5R.2","1","CTB Reading"
"5","Summary or retelling","5R.2.4","5R.2","1","CTB Reading"
"5","Analyze text","5R.3","5R","1","CTB Reading"
"5","Text relationships","5R.3.1","5R.3","1","CTB Reading"
"5","Compare-contrast","5R.3.1.1","5R.3.1","1","CTB Reading"
"5","Problem-solution","5R.3.1.2","5R.3.1","1","CTB Reading"
"5","Cause-effect","5R.3.1.3","5R.3.1","1","CTB Reading"
"5","Inferences and conclusions","5R.3.2","5R.3","1","CTB Reading"
"5","Text elements","5R.3.3","5R.3","1","CTB Reading"
"5","Implied main idea-theme","5R.3.3.1","5R.3.3","1","CTB Reading"
"5","Supporting evidence","5R.3.3.2","5R.3.3","1","CTB Reading"
"5","Character analysis","5R.3.3.3","5R.3.3","1","CTB Reading"
"5","Figurative language and literary devices","5R.3.4","5R.3","1","CTB Reading"
"5","Personification","5R.3.4.1","5R.3.4","1","CTB Reading"
"5","Symbols","5R.3.4.2","5R.3.4","1","CTB Reading"
"5","Simile","5R.3.4.3","5R.3.4","1","CTB Reading"
"5","Genre","5R.3.5","5R.3","1","CTB Reading"
"5","Evaluate and extend meaning","5R.4","5R","1","CTB Reading"
"5","Connections beyond or between texts","5R.4.1","5R.4","1","CTB Reading"
"5","Predict-hypothesize","5R.4.1.1","5R.4.1","1","CTB Reading"
"5","Synthesize","5R.4.1.2","5R.4.1","1","CTB Reading"
"5","Generalize","5R.4.1.3","5R.4.1","1","CTB Reading"
"5","Author elements","5R.4.2","5R.4","1","CTB Reading"
"5","Purpose","5R.4.2.1","5R.4.2","1","CTB Reading"
"5","Point of view","5R.4.2.2","5R.4.2","1","CTB Reading"
"5","Bias(es)-persuasive techniques","5R.4.2.3","5R.4.2","1","CTB Reading"
"5","Individual response to text","5R.4.3","5R.4","1","CTB Reading"
"5","Fact-opinion","5R.4.4","5R.4","1","CTB Reading"
"5","Text organization and reading strategies","5R.5","5R","1","CTB Reading"
"5","Structure of text","5R.5.1","5R.5","1","CTB Reading"
"5","Graphic features-illustrations","5R.5.1.1","5R.5.1","1","CTB Reading"
"5","Headings","5R.5.1.2","5R.5.1","1","CTB Reading"
"5","Text organizers","5R.5.1.3","5R.5.1","1","CTB Reading"
"5","Organizing strategies","5R.5.2","5R.5","1","CTB Reading"
"5","Graphic organizers-webs","5R.5.2.1","5R.5.2","1","CTB Reading"
"5","Chart making","5R.5.2.2","5R.5.2","1","CTB Reading"
"5","Note-taking","5R.5.2.3","5R.5.2","1","CTB Reading"
"5","Outlining","5R.5.2.4","5R.5.2","1","CTB Reading"
"5","Reading techniques","5R.5.3","5R.5","1","CTB Reading"
"5","Preview-skim-scan","5R.5.3.1","5R.5.3","1","CTB Reading"
"5","Check resources","5R.5.3.2","5R.5.3","1","CTB Reading"
"5","Formulate questions","5R.5.3.3","5R.5.3","1","CTB Reading"
"5","Research skills","5R.6","5R","1","CTB Reading"
"5","Informational sources","5R.6.1","5R.6","1","CTB Reading"
"5","Reference books","5R.6.1.1","5R.6.1","1","CTB Reading"
"5","Magazines and newspapers","5R.6.1.2","5R.6.1","1","CTB Reading"
"5","Electronic-media based","5R.6.1.3","5R.6.1","1","CTB Reading"
"5","Research","5R.6.2","5R.6","1","CTB Reading"
"5","Formulate questions","5R.6.2.1","5R.6.2","1","CTB Reading"
"5","Select appropriate resources","5R.6.2.2","5R.6.2","1","CTB Reading"
"5","Select topic","5R.6.2.3","5R.6.2","1","CTB Reading"
"5","Language","5L","5","1","CTB Language"
"5","Language structure and conventions editing skills","5L.1","5L","1","CTB Language"
"5","Parts of speech; grammar and usage","5L.1.1","5L.1","1","CTB Language"
"5","Nouns; pronouns","5L.1.1.1","5L.1.1","1","CTB Language"
"5","Verbs","5L.1.1.2","5L.1.1","1","CTB Language"
"5","Tense","5L.1.1.2.1","5L.1.1.2","1","CTB Language"
"5","Agreement","5L.1.1.2.2","5L.1.1.2","1","CTB Language"
"5","Adjectives","5L.1.1.3","5L.1.1","1","CTB Language"
"5","Comparative","5L.1.1.3.1","5L.1.1.3","1","CTB Language"
"5","Superlative","5L.1.1.3.2","5L.1.1.3","1","CTB Language"
"5","Adverbs","5L.1.1.4","5L.1.1","1","CTB Language"
"5","Comparative","5L.1.1.4.1","5L.1.1.4","1","CTB Language"
"5","Conjunctions","5L.1.1.5","5L.1.1","1","CTB Language"
"5","Sentence structure","5L.1.2","5L.1","1","CTB Language"
"5","Types of sentences","5L.1.2.1","5L.1.2","1","CTB Language"
"5","Complete, fragment, run-on","5L.1.2.2","5L.1.2","1","CTB Language"
"5","Combining sentences","5L.1.2.3","5L.1.2","1","CTB Language"
"5","Capitalization","5L.1.3","5L.1","1","CTB Language"
"5","Proper nouns, common","5L.1.3.1","5L.1.3","1","CTB Language"
"5","Titles","5L.1.3.2","5L.1.3","1","CTB Language"
"5","Direct quotes, dialogue","5L.1.3.3","5L.1.3","1","CTB Language"
"5","Letter conventions","5L.1.3.4","5L.1.3","1","CTB Language"
"5","Punctuation","5L.1.4","5L.1","1","CTB Language"
"5","Commas, series-compound sent., names of addresses","5L.1.4.2","5L.1.4","1","CTB Language"
"5","Apostrophes for possession","5L.1.4.3","5L.1.4","1","CTB Language"
"5","Abbreviations","5L.1.4.4","5L.1.4","1","CTB Language"
"5","Quotation marks","5L.1.4.5","5L.1.4","1","CTB Language"
"5","Spelling","5L.1.5","5L.1","1","CTB Language"
"5","Frequently misspelled words","5L.1.5.1","5L.1.5","1","CTB Language"
"5","Vocabulary use","5L.1.6","5L.1","1","CTB Language"
"5","Word choice, effective words","5L.1.6.1","5L.1.6","1","CTB Language"
"5","Connective, transitional words and devices","5L.1.6.2","5L.1.6","1","CTB Language"
"5","Writing process","5L.2","5L","1","CTB Language"
"5","Prewriting; organizing strategies","5L.2.1","5L.2","1","CTB Language"
"5","Listing, mapping, graphic organizers, questions","5L.2.1.1","5L.2.1","1","CTB Language"
"5","Develop and revise draft","5L.2.2","5L.2","1","CTB Language"
"5","Paragraph development","5L.2.2.1","5L.2.2","1","CTB Language"
"5","Topic sentence","5L.2.2.1.1","5L.2.2.1","1","CTB Language"
"5","Relevant supporting sentences","5L.2.2.1.2","5L.2.2.1","1","CTB Language"
"5","Conclusion","5L.2.2.1.3","5L.2.2.1","1","CTB Language"
"5","Writing organization","5L.2.2.2","5L.2.2","1","CTB Language"
"5","Categorize ideas","5L.2.2.2.1","5L.2.2.2","1","CTB Language"
"5","Logical sequence, organizational pattern","5L.2.2.2.2","5L.2.2.2","1","CTB Language"
"5","Compare, contrast","5L.2.2.2.2.1","5L.2.2.2.2","1","CTB Language"
"5","Revise; add, delete, combine, rearrange, proofread","5L.2.2.2.3","5L.2.2.2","1","CTB Language"
"5","Narrative writing","5L.2.3","5L.2","1","CTB Language"
"5","Descriptive writing","5L.2.4","5L.2","1","CTB Language"
"5","Informative writing","5L.2.5","5L.2","1","CTB Language"
"5","Mathematics","5M","5","1","CTB Mathematics"
"5","Number and operations","5M.1","5M","1","CTB Mathematics"
"5","Read, recognize, write numbers","5M.1.1","5M.1","1","CTB Mathematics"
"5","Number words and numerals","5M.1.1.1","5M.1.1","1","CTB Mathematics"
"5","Place value","5M.1.2","5M.1","1","CTB Mathematics"
"5","Identify the place value of digits","5M.1.2.1","5M.1.2","1","CTB Mathematics"
"5","Equivalent forms","5M.1.3","5M.1","1","CTB Mathematics"
"5","Identify various ways to represent numbers","5M.1.3.1","5M.1.3","1","CTB Mathematics"
"5","Fractions","5M.1.3.3","5M.1.3","1","CTB Mathematics"
"5","Decimals","5M.1.3.4","5M.1.3","1","CTB Mathematics"
"5","Exponential form","5M.1.3.6","5M.1.3","1","CTB Mathematics"
"5","Compare, order","5M.1.4","5M.1","1","CTB Mathematics"
"5","Whole numbers","5M.1.4.1","5M.1.4","1","CTB Mathematics"
"5","Use number line","5M.1.4.2","5M.1.4","1","CTB Mathematics"
