"","Colorado Standards","CO","0","1","CO"
"5","St. 1 Number Sense","WJ47XCC9","RCLRBRKI","4","CO Mathematics"
"5","1.1 Demonstrate meaning of numbers","FY3BRAC7","WJ47XCC9","5","CO Mathematics"
"5","1.2 Read,write whole numbers;place value","JXZDBQUG","WJ47XCC9","5","CO Mathematics"
"5","1.3 Apply number theory","7RDJMD1F","WJ47XCC9","5","CO Mathematics"
"5","1.4 Use number relationships (ratio,proportion,etc","A55U4MC2","WJ47XCC9","5","CO Mathematics"
"5","1.5 Develop,test,explain conjectures","HWTUMKTR","WJ47XCC9","5","CO Mathematics"
"5","1.6 Estimate,justify reasonableness of solutions","WY4Q7BRC","WJ47XCC9","5","CO Mathematics"
"5","St. 2 Algebra, Patterns & Functions","AEVZY8VJ","RCLRBRKI","4","CO Mathematics"
"5","2.1 Represent,describe,analyze patterns","3YKXO5P7","AEVZY8VJ","5","CO Mathematics"
"5","2.2 Describe patterns(equations,inequalities,etc.)","4QCD9DN9","AEVZY8VJ","5","CO Mathematics"
"5","2.3 Analyze functional relationships","T7O0WQRD","AEVZY8VJ","5","CO Mathematics"
"5","2.4 Distinguish linear,nonlinear functions","AKJB4RYL","AEVZY8VJ","5","CO Mathematics"
"5","2.5 Solve linear equations","VC0AV1L4","AEVZY8VJ","5","CO Mathematics"
"5","St. 3 Data Analysis, Statistics, Probability","B24ILUNI","RCLRBRKI","4","CO Mathematics"
"5","3.1 Read,construct data displays","JR8SRBA8","B24ILUNI","5","CO Mathematics"
"5","3.2 Display,use central tendency,variability","RCDQBT9Y","B24ILUNI","5","CO Mathematics"
"5","3.3 Evaluate statistical arguments","09YVV2ZA","B24ILUNI","5","CO Mathematics"
"5","3.4 Data Analysis (hypothesize,conclude,argue)","BH15HSIO","B24ILUNI","5","CO Mathematics"
"5","3.5 Determine probabilities","BM3ZGABA","B24ILUNI","5","CO Mathematics"
"5","3.6 Make predictions,compare results","XTJ78XDX","B24ILUNI","5","CO Mathematics"
"5","3.7 Determine possible outcomes","TI1OTCB5","B24ILUNI","5","CO Mathematics"
"5","St. 4 Geometry","4XFTAL00","RCLRBRKI","4","CO Mathematics"
"5","4.1 Construct 2-3 dimensional models","AOWVS0H3","4XFTAL00","5","CO Mathematics"
"5","4.2 Analyze properties of dimensional figures","NYHZCS6U","4XFTAL00","5","CO Mathematics"
"5","4.3 Apply ratio,proportion,similarity","7254U6OP","4XFTAL00","5","CO Mathematics"
"5","4.4 Solve problems using coordinate geometry","R8ADOXLP","4XFTAL00","5","CO Mathematics"
"5","4.5 Solve for perimeter,area,volume","VSGGH7OK","4XFTAL00","5","CO Mathematics"
"5","4.6 Transform geometric figures","GK4MV3AB","4XFTAL00","5","CO Mathematics"
"5","St. 5 Measurement","FNCBCE0B","RCLRBRKI","4","CO Mathematics"
"5","5.1 Estimate,use,describe units of measurement","APAIUJEL","FNCBCE0B","5","CO Mathematics"
"5","5.2 Compare using forms of measurement","ZZU3T2SO","FNCBCE0B","5","CO Mathematics"
"5","5.3 Read,interpret scales","GU7FNQU6","FNCBCE0B","5","CO Mathematics"
"5","5.4 Use formulas to solve measurement problems","KLZB5POC","FNCBCE0B","5","CO Mathematics"
"5","5.5 Describe relation of dimensions to size","1UQI2954","FNCBCE0B","5","CO Mathematics"
"5","5.6 Select appropriate measurement units,tools","ANMMCIG7","FNCBCE0B","5","CO Mathematics"
"5","St. 6 Operations & Computation","SFWCXBOS","RCLRBRKI","4","CO Mathematics"
"5","6.1 Use models(ratios,proportions,percents)","SCJW4UB3","SFWCXBOS","5","CO Mathematics"
"5","6.2 Compute fractions,decimals,integers","K7DXPA3A","SFWCXBOS","5","CO Mathematics"
"5","6.3 Explain,justify estimation strategies","LQ48BM6L","SFWCXBOS","5","CO Mathematics"
"5","6.4 Select,use appropriate computation method","AJIZN3GM","SFWCXBOS","5","CO Mathematics"
"6","Grade 6","NLA76K0M","CO","2","CO"
"6","Reading","8JKSER5C","NLA76K0M","3","CO Reading"
"6","St. 1 Read, understand a variety of materials","XIU9S87V","8JKSER5C","4","CO Reading"
"6","1.1 Compare, contrast theme, ideas","RAVYF9QW","XIU9S87V","5","CO Reading"
"6","1.2 Summarize fiction, non-fiction","VK975VB0","XIU9S87V","5","CO Reading"
"6","1.3 Find, paraphrase main idea, details","MBSUAXT2","XIU9S87V","5","CO Reading"
"6","1.4 Make inferences","SH090ZWT","XIU9S87V","5","CO Reading"
"6","1.5 Identify sequence","VAKEL3ZX","XIU9S87V","5","CO Reading"
"6","1.6 Locate,recall info (cause effect,compare cont)","TYJC75B8","XIU9S87V","5","CO Reading"
"6","1.7 Identify meaning of words in context","Z1HRAJE6","XIU9S87V","5","CO Reading"
"6","St. 4 Apply thinking skills","5YXC5Z87","8JKSER5C","4","CO Reading"
"6","4.1  Determine author's purpose","XQS0FZC5","5YXC5Z87","5","CO Reading"
"6","4.2 Define, solve problems","KJH7WM2U","5YXC5Z87","5","CO Reading"
"6","4.3 Differentiate fact, opinion","D3PTUBEC","5YXC5Z87","5","CO Reading"
"6","4.4 Make predictions, draw conclusions","EYIUTAAO","5YXC5Z87","5","CO Reading"
"6","4.5 Explain main point (Author's point of view)","CW625FKE","5YXC5Z87","5","CO Reading"
"6","St. 5 Read for relevant information in references","1SWKPLKA","8JKSER5C","4","CO Reading"
"6","5.1 Use organizational features of text","C7OU6HVZ","1SWKPLKA","5","CO Reading"
"6","5.2 Recognize electronic org features","5XZ834Q2","1SWKPLKA","5","CO Reading"
"6","5.3 Summarize, organize information","CP65JFE8","1SWKPLKA","5","CO Reading"
"6","5.4 Sort information for topic, purpose","0P6BPBJI","1SWKPLKA","5","CO Reading"
"6","5.5 Credit information sources","MN61MB2S","1SWKPLKA","5","CO Reading"
"6","5.6 Select appropriate definitions","HYAGI0H5","1SWKPLKA","5","CO Reading"
"6","St. 6 Read, recognize literature as human exper.","G0EATRIT","8JKSER5C","4","CO Reading"
"6","6.1 Read, respond to variety of literature","YJN7YI8C","G0EATRIT","5","CO Reading"
"6","6.2 Identify literary elements (setting, plot,etc)","64LTPSCC","G0EATRIT","5","CO Reading"
"6","6.3 Apply literary techniques, terms","CI9QB3D2","G0EATRIT","5","CO Reading"
"6","6.4 Compare author, cultural background","K0G5UEAZ","G0EATRIT","5","CO Reading"
"6","Writing","WBK0CB8D","NLA76K0M","3","CO Writing"
"6","St. 2 Write for a variety of purposes, audience","YE3JSRZN","WBK0CB8D","4","CO Writing"
"6","2.1 Write to entertain, inform, persuade","M4NFC5MA","YE3JSRZN","5","CO Writing"
"6","2.2 Organize writing","CS57BY5I","YE3JSRZN","5","CO Writing"
"6","2.3 Use language to support enrich idea","VXOOROEA","YE3JSRZN","5","CO Writing"
"6","2.4 Plan, draft, revise and edit for final copy","GEOQD0B7","YE3JSRZN","5","CO Writing"
"6","2.5 Use transitions to link ideas","AGJCAN2Y","YE3JSRZN","5","CO Writing"
"6","2.6 Use a variety of sentence structures","XVF27PKW","YE3JSRZN","5","CO Writing"
"6","2.7 Develop ideas content-details,examples,reasons","7CZBJ4WG","YE3JSRZN","5","CO Writing"
"6","St. 3 Write using proper conventions","OKXRE57T","WBK0CB8D","4","CO Writing"
"6","3.1 Identify subj., verb, pronouns, adjectives","63IMBGEL","OKXRE57T","5","CO Writing"
"6","3.2 Use subj. verb agreement, nouns, verbs, etc.","DWF9HABX","OKXRE57T","5","CO Writing"
"6","3.3 Write in complete sentences","NTN9EOY1","OKXRE57T","5","CO Writing"
"6","3.4 Use conventions correctly","YX51QAQ4","OKXRE57T","5","CO Writing"
"6","3.5 Identify and use conventional spelling","73CLQXIC","OKXRE57T","5","CO Writing"
"6","Math","B40PIF13","NLA76K0M","3","CO Mathematics"
"6","St. 1 Number sense","AFWF1BR2","B40PIF13","4","CO Mathematics"
"6","1.1 Demonstrate number meanings","DJLG91UF","AFWF1BR2","5","CO Mathematics"
"6","1.2 Read, write, order numbers","F4WLFOAF","AFWF1BR2","5","CO Mathematics"
"6","1.3 Apply number theory","K24BW4YL","AFWF1BR2","5","CO Mathematics"
"6","1.4 Use relationships between numbers","LHMQGSJM","AFWF1BR2","5","CO Mathematics"
"6","1.5 Develop, test, explain number properties","QPPZDZO0","AFWF1BR2","5","CO Mathematics"
"6","1.6 Estimate, justify solutions","CQCBURA2","AFWF1BR2","5","CO Mathematics"
"6","St. 2 Algebra, patterns & functions","F0NZ0MO7","B40PIF13","4","CO Mathematics"
"6","2.1 Represent, describe, analyze patterns","M2UK7N90","F0NZ0MO7","5","CO Mathematics"
"6","2.2 Use variables, equations, inequalities","SAYA6B9U","F0NZ0MO7","5","CO Mathematics"
"6","2.3 Analyze change in functional relationships","LDF6YC9J","F0NZ0MO7","5","CO Mathematics"
"6","2.4 Investigate linear, nonlinear functions","KQZQBFK5","F0NZ0MO7","5","CO Mathematics"
"6","2.5 Solve simple linear equations","86WCVATK","F0NZ0MO7","5","CO Mathematics"
"6","St. 3 Data analysis, statistics, probability","YRCSXCGN","B40PIF13","4","CO Mathematics"
"6","3.1 Read, construct data displays","RWAP8H0C","YRCSXCGN","5","CO Mathematics"
"6","3.2 Use display central tendency & variability","9A64VB4D","YRCSXCGN","5","CO Mathematics"
"6","3.3 Evaluate statistical claims","CM4PUD3Q","YRCSXCGN","5","CO Mathematics"
"6","3.4 Formulate hypotheses, draw conclusions","1J6R9XRK","YRCSXCGN","5","CO Mathematics"
"6","3.5 Perform experiments, find probabilities","QBZ875CM","YRCSXCGN","5","CO Mathematics"
"6","3.6 Use experimental and theoretical probability","G6OMIETV","YRCSXCGN","5","CO Mathematics"
"6","3.7 Use counting strategies","D93AA62M","YRCSXCGN","5","CO Mathematics"
"6","St. 4 Geometry","9SAMIV0P","B40PIF13","4","CO Mathematics"
"6","4.1 Construct 2-3 dimensional models","7DUSPQGX","9SAMIV0P","5","CO Mathematics"
"6","4.2 Analyze properties of figures","DPCMJ2AY","9SAMIV0P","5","CO Mathematics"
"6","4.3 Apply ratio, proportion, similarity","HUG9MF5M","9SAMIV0P","5","CO Mathematics"
"6","4.4 Solve problems using coordinate geometry","DPD1ALM6","9SAMIV0P","5","CO Mathematics"
"6","4.5 Solve problems with perimeter, area & volume","RCM5C6AY","9SAMIV0P","5","CO Mathematics"
"6","4.6 Use transformations","AOKIH77A","9SAMIV0P","5","CO Mathematics"
"6","St. 5 Measurement","EKTO64RG","B40PIF13","4","CO Mathematics"
"6","5.1 Estimate, use, describe units of measurement","R4FB8GLP","EKTO64RG","5","CO Mathematics"
"6","5.2 Use direct indirect measurement","TL4IJVEO","EKTO64RG","5","CO Mathematics"
"6","5.3 Read, interpret scales","79KPHT34","EKTO64RG","5","CO Mathematics"
"6","5.4 Develop use formulas to solve problems","1CCYT33Z","EKTO64RG","5","CO Mathematics"
"6","5.5 Describe the effect of dimensional change","CMS8EMQF","EKTO64RG","5","CO Mathematics"
"6","5.6 Select appropriate measurement tools","LEXA63HE","EKTO64RG","5","CO Mathematics"
"6","St. 6 Operations & computation","VRTJM6CL","B40PIF13","4","CO Mathematics"
"6","6.1 Use ratios, proportions & percents","COLZHBN4","VRTJM6CL","5","CO Mathematics"
"6","6.2 Use procedures to compute & estimate","JKIPLZXT","VRTJM6CL","5","CO Mathematics"
"6","6.3 Use estimation strategies","H7BL8FAW","VRTJM6CL","5","CO Mathematics"
"6","6.4 Select and use appropriate computation methods","DYI19Q8R","VRTJM6CL","5","CO Mathematics"
"7","Grade 7","ZECHNO1B","CO","2","CO"
"7","Reading","Y40NC11H","ZECHNO1B","3","CO Reading"
"7","St. 1  Read, understand a variety of materials","S17WQS2W","Y40NC11H","4","CO Reading"
"7","1.1 Compare, contrast theme, ideas","BDZDG90J","S17WQS2W","5","CO Reading"
"7","1.2 Summarize text (newspaper, technical, poetry)","134PLDX1","S17WQS2W","5","CO Reading"
"7","1.3 Determine main idea, essential message","CBRVQG40","S17WQS2W","5","CO Reading"
"7","1.4 Make inferences using context clues","VKMNA9EX","S17WQS2W","5","CO Reading"
"7","1.5 Connections, separated sections of text","VO6M9RNH","S17WQS2W","5","CO Reading"
"7","1.6 Find support in text for main idea","QHC3SJDX","S17WQS2W","5","CO Reading"
"7","1.7 Use word recognition skills to comprehend text","G1SG0KDO","S17WQS2W","5","CO Reading"
"7","1.8 Sequence of steps in a technical publication","2CJNRN9W","S17WQS2W","5","CO Reading"
"7","1.9 Use context clues to determine meaning","SGVTYWVI","S17WQS2W","5","CO Reading"
"7","St. 4 Apply thinking skills","IZGQ8HMP","Y40NC11H","4","CO Reading"
"7","4.1  Determine author's purpose","DJKF822N","IZGQ8HMP","5","CO Reading"
"7","4.2 Define, solve problems","FTAUK3ZP","IZGQ8HMP","5","CO Reading"
"7","4.3 Differentiate fact, opinion","ICYO2GSY","IZGQ8HMP","5","CO Reading"
"7","4.4 Make predictions, draw conclusions, analyze","QOYDTOC1","IZGQ8HMP","5","CO Reading"
"7","St. 5 Read for relevant information in references","R8TWBLGN","Y40NC11H","4","CO Reading"
"7","5.1 Use organizational features of text","J5LAD2DH","R8TWBLGN","5","CO Reading"
"7","5.2 Use electronic organization features","K9XIG7U4","R8TWBLGN","5","CO Reading"
"7","5.3 Summarize,paraphrase, synthesize,organize info","6HJV5Y7C","R8TWBLGN","5","CO Reading"
"7","5.4 Locate, select relevant information","Y71CGO9Z","R8TWBLGN","5","CO Reading"
"7","St. 6 Read, recognize literature as human exper.","XN8CK3CB","Y40NC11H","4","CO Reading"
"7","6.1 Read, respond to a variety of literature","PQJB8L3I","XN8CK3CB","5","CO Reading"
"7","6.2 Identify literary elements (setting, plot etc)","3OIO9A37","XN8CK3CB","5","CO Reading"
"7","6.3 Apply literary techniques, terms","V4VWCIC3","XN8CK3CB","5","CO Reading"
"7","6.4 Represents points of view(familiar unfamiliar)","G7WCKBLS","XN8CK3CB","5","CO Reading"
"7","Writing","VMUH9R7F","ZECHNO1B","3","CO Writing"
"7","St. 2 Write for a variety of purposes, audiences","9UY8T3BC","VMUH9R7F","4","CO Writing"
"7","2.1 Write to entertain, persuade, inform (variety)","20RY08NW","9UY8T3BC","5","CO Writing"
"7","2.2 Develop content with details, examples, reason","PZ3A6CRW","9UY8T3BC","5","CO Writing"
"7","2.3 Organize ideas(logical arrangement conclusion)","XVCEDAJ9","9UY8T3BC","5","CO Writing"
"7","2.4 Use transitions to link ideas","22CP3ZG4","9UY8T3BC","5","CO Writing"
"7","2.5 Plan, draft, revise, edit for final copy","5OCBE9ND","9UY8T3BC","5","CO Writing"
"7","2.6 Use a variety of sentence structures","W44HVCRA","9UY8T3BC","5","CO Writing"
"7","2.7 Write with appropriate voice(purpose audience)","GS8TZJU3","9UY8T3BC","5","CO Writing"
"7","2.8 Choose precise range of words","K8QETMCS","9UY8T3BC","5","CO Writing"
"7","St. 3 Write using proper conventions","GCP5GGL4","VMUH9R7F","4","CO Writing"
"7","3.1 Identify nouns,pronouns,verbs, adjectives","K0JTN8OC","GCP5GGL4","5","CO Writing"
"7","3.2  Use standard English usage in writing","BM9A1F6D","GCP5GGL4","5","CO Writing"
"7","3.3 Write in complete sentences","SAU3U916","GCP5GGL4","5","CO Writing"
"7","3.4 Use paragraphs correctly-indenting, ideas","6ISAPD0F","GCP5GGL4","5","CO Writing"
"7","3.5 Use conventional spelling","PYQDACLP","GCP5GGL4","5","CO Writing"
"7","3.6 Punctuate correctly","BBVS53EE","GCP5GGL4","5","CO Writing"
"7","Math","0G9P34WD","ZECHNO1B","3","CO Mathematics"
"7","St. 1 Number sense","3LLVCEFK","0G9P34WD","4","CO Mathematics"
"7","1.1 Demonstrate number meanings","12WAQBOM","3LLVCEFK","5","CO Mathematics"
"7","1.2 Read, write, order numbers","SIZHWU0C","3LLVCEFK","5","CO Mathematics"
"7","1.3 Apply number theory","FBY4K9IC","3LLVCEFK","5","CO Mathematics"
"7","1.4 Use relationships between numbers","0Y4P3H34","3LLVCEFK","5","CO Mathematics"
"7","1.5 Develop, test, explain number properties","4B0I37CM","3LLVCEFK","5","CO Mathematics"
"7","1.6 Estimate, justify solutions","WPOGSMIH","3LLVCEFK","5","CO Mathematics"
"7","St. 2 Algebra, patterns & functions","55OEVQM2","0G9P34WD","4","CO Mathematics"
"7","2.1 Represent, describe, analyze patterns","NKBRJBP3","55OEVQM2","5","CO Mathematics"
"7","2.2 Use variables, equations & inequalities","IK2CVKYI","55OEVQM2","5","CO Mathematics"
"7","2.3 Analyze change in functional relationships","2FH76UCB","55OEVQM2","5","CO Mathematics"
"7","2.4 Investigate linear, nonlinear functions","GV97B7Q9","55OEVQM2","5","CO Mathematics"
"7","2.5 Solve simple linear equations","XFC705SK","55OEVQM2","5","CO Mathematics"
"7","St. 3 Data analysis, statistics, probability","S0TGZUV3","0G9P34WD","4","CO Mathematics"
"7","3.1 Read, construct data displays","PQCXBCYB","S0TGZUV3","5","CO Mathematics"
"7","3.2 Use central tendency & variability","KAKDWAEM","S0TGZUV3","5","CO Mathematics"
"7","3.3 Evaluate statistical claims","AMAEBB1C","S0TGZUV3","5","CO Mathematics"
"7","3.4 Formulate hypotheses, draw conclusions","VXSB2UA7","S0TGZUV3","5","CO Mathematics"
"7","3.5 Perform experiements, find probability","L8XM4O5Q","S0TGZUV3","5","CO Mathematics"
"7","3.6 Use experimental and theoretical probability","L1EEYHKZ","S0TGZUV3","5","CO Mathematics"
"7","3.7 Use counting strategies","UTKWLNEX","S0TGZUV3","5","CO Mathematics"
"7","St. 4 Geometry","T1E00RG9","0G9P34WD","4","CO Mathematics"
"7","4.1 Construct 2-3 dimensional models","VK7BC2XP","T1E00RG9","5","CO Mathematics"
"7","4.2 Analyze properties of figures","8VII9YYB","T1E00RG9","5","CO Mathematics"
"7","4.3 Apply ratio, proportion, similarity","X7WO4PF7","T1E00RG9","5","CO Mathematics"
"7","4.4 Solve problems using coordinate geometry","K9ZF0S4V","T1E00RG9","5","CO Mathematics"
"7","4.5 Solve problems with perimeter, area & volume","9T2DCQBB","T1E00RG9","5","CO Mathematics"
"7","4.6 Use transformations","Y5WHMAX9","T1E00RG9","5","CO Mathematics"
"7","St. 5 Measurement","JN4NWG4Y","0G9P34WD","4","CO Mathematics"
"7","5.1 Estimate, use, describe units of measurement","N1ABTMKJ","JN4NWG4Y","5","CO Mathematics"
"7","5.2 Use direct indirect measurement","WQ217T9I","JN4NWG4Y","5","CO Mathematics"
"7","5.3 Read, interpret scales","TFT0OX7X","JN4NWG4Y","5","CO Mathematics"
"7","5.4 Develop use formulas to solve problems","ISBR131W","JN4NWG4Y","5","CO Mathematics"
"7","5.5 Describe the effect of dimensional change","KHGRL04D","JN4NWG4Y","5","CO Mathematics"
"7","5.6 Select appropriate measurement tools","MTRXS4GJ","JN4NWG4Y","5","CO Mathematics"
"7","St. 6 Operations & computation","V86Y5AAB","0G9P34WD","4","CO Mathematics"
"7","6.1 Use ratios, proportions & percents","E53M7FV1","V86Y5AAB","5","CO Mathematics"
"7","6.2 Use procedures to compute & estimate","OYA9GEQA","V86Y5AAB","5","CO Mathematics"
"7","6.3 Use estimation strategies","140Q0M6Q","V86Y5AAB","5","CO Mathematics"
"7","6.4 Select and use appropriate computation methods","5EZX6229","V86Y5AAB","5","CO Mathematics"
"8","Grade 8","HNUB2A0N","CO","2","CO"
"8","Reading","8MH7BHPD","HNUB2A0N","3","CO Reading"
"8","St. 1 Read, understand a variety of materials","IPP9V0QN","8MH7BHPD","4","CO Reading"
"8","1.1 Compare, contrast themes, ideas","VAUFXGCH","IPP9V0QN","5","CO Reading"
"8","1.2 Summarize, synthesize texts","CCY0FCM4","IPP9V0QN","5","CO Reading"
"8","1.3 Analyze main idea and supporting details","V4N4NXLB","IPP9V0QN","5","CO Reading"
"8","1.4 Make inferences using information","KXUBB1AX","IPP9V0QN","5","CO Reading"
"8","1.5 Identify sequence","FL5A3I47","IPP9V0QN","5","CO Reading"
"8","1.6 Recall relationships (cause and effect)","QLPGWJUA","IPP9V0QN","5","CO Reading"
"8","1.7 Identify unfamiliar words","ADZFCX38","IPP9V0QN","5","CO Reading"
"8","St. 4 Apply thinking skills","UAQ3ZG7L","8MH7BHPD","4","CO Reading"
"8","4.1 Determine author's purpose","M2AFYBGZ","UAQ3ZG7L","5","CO Reading"
"8","4.2 Define, solve problems","AGWUWSJJ","UAQ3ZG7L","5","CO Reading"
"8","4.3 Differentiate fact, opinion","TCTCPJCB","UAQ3ZG7L","5","CO Reading"
"8","4.4 Make predictions, draw conclusions","XW674SC9","UAQ3ZG7L","5","CO Reading"
"8","4.5 Analyze main idea, use details to support","81VGDX1Z","UAQ3ZG7L","5","CO Reading"
"8","St. 5 Read for relevant information in references","CWG56DF9","8MH7BHPD","4","CO Reading"
"8","5.1 Use organizational features","EH109UCF","CWG56DF9","5","CO Reading"
"8","5.2 Use electronic org features","6W7JPDR6","CWG56DF9","5","CO Reading"
"8","5.3 Summarize, organize information","AW9PVMZ8","CWG56DF9","5","CO Reading"
"8","5.4 Evaluate information","HAXDCIOL","CWG56DF9","5","CO Reading"
"8","5.5 Credit information sources","H47KZDAO","CWG56DF9","5","CO Reading"
"8","5.6 Select appropriate definitions","WE2TVIO8","CWG56DF9","5","CO Reading"
"8","St. 6 Read, recognize literature as human exper.","SQBBY0QP","8MH7BHPD","4","CO Reading"
"8","6.1 Read, respond to a variety of literature","0JB09CYV","SQBBY0QP","5","CO Reading"
"8","6.2 Apply literary techniques to understand text","VOB508Q1","SQBBY0QP","5","CO Reading"
"8","6.3 Read text, identify theme","9A5BN8ID","SQBBY0QP","5","CO Reading"
"8","6.4 Understand figurative language,support meaning","6WXTIIS0","SQBBY0QP","5","CO Reading"
"8","Writing","AHVCMBCL","HNUB2A0N","3","CO Writing"
"8","St. 2 Write for a variety of purposes, audiences","VUK91X2N","AHVCMBCL","4","CO Writing"
"8","2.1 Write to analyze,evaluate,persuade,inform","RD08VKHS","VUK91X2N","5","CO Writing"
"8","2.2 Organize writing (intro,ideas,conclusion)","OO1IAH0B","VUK91X2N","5","CO Writing"
"8","2.3 Use language appropriate to audience,purpose","IBP14PEX","VUK91X2N","5","CO Writing"
"8","2.4 Plan, draft, revise, edit for final copy","7GX90IOB","VUK91X2N","5","CO Writing"
"8","2.5 Write using appropriate voice and format","ABA7HNPE","VUK91X2N","5","CO Writing"
"8","2.6 Vary sent. structure-enhance meaning fluency","E1F4T626","VUK91X2N","5","CO Writing"
"8","2.7 Develop content to address prompt","5A8MA9AA","VUK91X2N","5","CO Writing"
"8","St. 3 Write using proper conventions","CB5EC8AA","AHVCMBCL","4","CO Writing"
"8","3.1 Identify parts of speech","3DAPNBKW","CB5EC8AA","5","CO Writing"
"8","3.2 Use standard English in writing","FFRCABE6","CB5EC8AA","5","CO Writing"
"8","3.3 Write in complete sentences","Z7NORFES","CB5EC8AA","5","CO Writing"
"8","3.4 Use conventions correctly","WFO7U1CK","CB5EC8AA","5","CO Writing"
"8","3.5 Use conventional spelling","MBATS1LF","CB5EC8AA","5","CO Writing"
"8","3.6 Use paragraphing correctly-indenting, focus","ZBNJOLC5","CB5EC8AA","5","CO Writing"
"8","Math","Q9YEHRQC","HNUB2A0N","3","CO Mathematics"
"8","St. 1 Number sense","MKAUJRZJ","Q9YEHRQC","4","CO Mathematics"
"8","1.1 Demonstrate number meanings","GXCAZDMN","MKAUJRZJ","5","CO Mathematics"
"8","1.2 Read,write,order numbers","YRCD5T66","MKAUJRZJ","5","CO Mathematics"
"8","1.3 Apply number theory","N7FDX40F","MKAUJRZJ","5","CO Mathematics"
"8","1.4 Use relationships between numbers","TAGOC2BA","MKAUJRZJ","5","CO Mathematics"
"8","1.5 Develop, test, explain number properties","3GAT5MVM","MKAUJRZJ","5","CO Mathematics"
"8","1.6 Estimate, justify solutions","IL3XNN9P","MKAUJRZJ","5","CO Mathematics"
"8","St. 2 Algebra, patterns & functions","5ARDZGWC","Q9YEHRQC","4","CO Mathematics"
"8","2.1 Represent, describe, analyze patterns","P1Q9KOCT","5ARDZGWC","5","CO Mathematics"
"8","2.2 Use variables, equations & inequalities","PMHX0CK3","5ARDZGWC","5","CO Mathematics"
"8","2.3 Analyze change in functional relationships","LOTH6GJI","5ARDZGWC","5","CO Mathematics"
"8","2.4 Investigate linear, nonlinear functions","A03OYHAS","5ARDZGWC","5","CO Mathematics"
"8","2.5 Solve simple linear equations","4PCT5SZR","5ARDZGWC","5","CO Mathematics"
"8","St. 3 Data Analysis, statistics, probability","WZWYRVC5","Q9YEHRQC","4","CO Mathematics"
"8","3.1 Read, construct data displays","BNG837B2","WZWYRVC5","5","CO Mathematics"
"8","3.2 Use central tendency & variability","UZ8ZDTS4","WZWYRVC5","5","CO Mathematics"
"8","3.3 Evaluate statistical claims","CHLHC1AV","WZWYRVC5","5","CO Mathematics"
"8","3.4 Formulate hypotheses, draw conclusions","FL50OHBL","WZWYRVC5","5","CO Mathematics"
"8","3.5 Perform experiements, find probability","8ASVEQ6X","WZWYRVC5","5","CO Mathematics"
"8","3.6 Use experimental and theoretical probability","AJXVSMF2","WZWYRVC5","5","CO Mathematics"
"8","3.7 Use counting strategies","7BVLCQPA","WZWYRVC5","5","CO Mathematics"
"8","St. 4 Geometry","D001A135","Q9YEHRQC","4","CO Mathematics"
"8","4.1 Construct 2-3 dimensional models","BNXKSF4I","D001A135","5","CO Mathematics"
"8","4.2 Analyze properties of figures","IL6RDIRA","D001A135","5","CO Mathematics"
"8","4.3 Apply ratio, proportion, similarity","3YC1GB27","D001A135","5","CO Mathematics"
"8","4.4 Solve problems using coordinate geometry","0W1DEET2","D001A135","5","CO Mathematics"
"8","4.5 Solve problems with perimeter, area & volume","Z5R9WTED","D001A135","5","CO Mathematics"
"8","4.6 Use transformations","LLZ5UGM3","D001A135","5","CO Mathematics"
"8","St. 5 Measurement","7ZBPWLAA","Q9YEHRQC","4","CO Mathematics"
"8","5.1 Estimate, use, describe units of measurement","BEVOOJIC","7ZBPWLAA","5","CO Mathematics"
"8","5.2 Use direct indirect measurement","PLGASGJL","7ZBPWLAA","5","CO Mathematics"
"8","5.3 Read, interpret scales","SPX78P4F","7ZBPWLAA","5","CO Mathematics"
"8","5.4 Develop use formulas to solve problems","E1D9QDER","7ZBPWLAA","5","CO Mathematics"
"8","5.5 Describe the effect of dimensional change","04E7ER9Q","7ZBPWLAA","5","CO Mathematics"
"8","5.6 Select appropriate measurement tools","JSLN56YZ","7ZBPWLAA","5","CO Mathematics"
"8","St. 6 Operations & computation","BN91JK0S","Q9YEHRQC","4","CO Mathematics"
"8","6.1 Use ratios, proportions & percents","A2GMD9BF","BN91JK0S","5","CO Mathematics"
"8","6.2 Use procedures to compute & estimate","RCMX96IB","BN91JK0S","5","CO Mathematics"
"8","6.3 Use estimation strategies","TAYKZGAA","BN91JK0S","5","CO Mathematics"
"8","6.4 Select and use appropriate computation methods","CO7BGBS8","BN91JK0S","5","CO Mathematics"
